Dataset,Method,Dice,Coverage,Expected Risk,Risk Std,Worst 10%,CVaR_0.9,Worst Group
Kvasir-SEG-ID,Plain Segmentation,0.8192729448017321,1.0,0.11786617111259451,0.18442147797527203,0.3741693943738937,0.5933947483698527,0.1930321056813914
Kvasir-SEG-ID,Entropy Threshold,0.8192729448017321,0.9900521850585937,0.10864995884398619,0.17712807376224066,0.34126908183097826,0.5654866635799408,0.17967504755669864
Kvasir-SEG-ID,Max-Softmax Threshold,0.8192729448017321,1.0,0.11786617111259451,0.18442147797527203,0.3741693943738937,0.5933947483698527,0.1930321056813914
Kvasir-SEG-ID,LS-CRC (Ours),0.8192729448017321,1.0,0.11786617111259451,0.18442147797527203,0.3741693943738937,0.5933947483698527,0.1930321056813914
CVC-ClinicDB-ID,Plain Segmentation,0.8699605720383781,1.0,0.10968266933567214,0.1787413383094454,0.26496693491935763,0.5572176516056061,0.15810162932253802
CVC-ClinicDB-ID,Entropy Threshold,0.8699605720383781,0.9945186692841199,0.10078294125233529,0.17467622919736878,0.24957205057144188,0.5334915399551392,0.13741421864296383
CVC-ClinicDB-ID,Max-Softmax Threshold,0.8699605720383781,0.9986204809072067,0.10735869224715446,0.17761147350860432,0.26067147850990324,0.5510699689388275,0.1526616091051927
CVC-ClinicDB-ID,LS-CRC (Ours),0.8699605720383781,0.8776892837213011,0.012662937119246783,0.030076777280146356,0.04464223757386211,0.08612030819058418,0.02352001723325388
Cross-Kvasir-cal-CVC-test,Plain Segmentation,0.8699605720383781,1.0,0.10968266933567214,0.1787413383094454,0.26496693491935763,0.5572176516056061,0.15810162932253802
Cross-Kvasir-cal-CVC-test,Entropy Threshold,0.8699605720383781,0.9945186692841199,0.10078294125233529,0.17467622919736878,0.24957205057144188,0.5334915399551392,0.13741421864296383
Cross-Kvasir-cal-CVC-test,Max-Softmax Threshold,0.8699605720383781,1.0,0.10968266933567214,0.1787413383094454,0.26496693491935763,0.5572176516056061,0.15810162932253802
Cross-Kvasir-cal-CVC-test,LS-CRC (Ours),0.8699605720383781,1.0,0.10968266933567214,0.1787413383094454,0.26496693491935763,0.5572176516056061,0.15810162932253802
Cross-CVC-cal-Kvasir-test,Plain Segmentation,0.8192729448017321,1.0,0.11786617111259451,0.18442147797527203,0.3741693943738937,0.5933947483698527,0.1930321056813914
Cross-CVC-cal-Kvasir-test,Entropy Threshold,0.8192729448017321,0.9900521850585937,0.10864995884398619,0.17712807376224066,0.34126908183097826,0.5654866635799408,0.17967504755669864
Cross-CVC-cal-Kvasir-test,Max-Softmax Threshold,0.8192729448017321,0.9974730428059896,0.11542933789663948,0.18268463609804855,0.36971907615661614,0.5863504528999328,0.18983482803237073
Cross-CVC-cal-Kvasir-test,LS-CRC (Ours),0.8192729448017321,0.8046223958333333,0.028401231465638072,0.07835427144765775,0.061089646071195436,0.2209073632955551,0.04381241117397974
